class	MIXS ID	Value syntax	Frequency
human-associated	MIXS:0000031	{termLabel} [{termID}]	0.25
human-gut	MIXS:0000031	{termLabel} [{termID}]	0.25
human-oral	MIXS:0000031	{termLabel} [{termID}]	0.25
human-skin	MIXS:0000031	{termLabel} [{termID}]	0.25
human-vaginal	MIXS:0000031	{termLabel} [{termID}]	0.25
host-associated	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
migs_ba	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
migs_eu	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
migs_org	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
migs_pl	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
migs_vi	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
mimag	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
mimarks_c	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
mimarks_s	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
mims	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
misag	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
miuvig	MIXS:0000031	{termLabel} [{termID}]|{text}	0.6
agriculture	MIXS:0000031	{text}|{termLabel} [{termID}]	0.15
food-farm environment	MIXS:0000031	{text}|{termLabel} [{termID}]	0.15
plant-associated	MIXS:0000031	{text}|{termLabel} [{termID}]	0.15
soil	MIXS:0000185	{float}	0.3333333333333333
microbial mat/biofilm	MIXS:0000185	{float} {unit}	0.6666666666666666
sediment	MIXS:0000185	{float} {unit}	0.6666666666666666
built environment	MIXS:0000226	[ Daily| Weekly| Monthly| Quarterly | Annually| other]	0.5
food-food production facility	MIXS:0000226	{text}	0.5
food-farm environment	MIXS:0000250	{NCBI taxid}	0.6
host-associated	MIXS:0000250	{NCBI taxid}	0.6
plant-associated	MIXS:0000250	{NCBI taxid}	0.6
agriculture	MIXS:0000250	{integer}	0.4
symbiont-associated	MIXS:0000250	{integer}	0.4
microbial mat/biofilm	MIXS:0000310	{float} {unit}	0.6666666666666666
sediment	MIXS:0000310	{float} {unit}	0.6666666666666666
water	MIXS:0000310	{float}:{float}	0.3333333333333333
agriculture	MIXS:0000314	{PMID|DOI|URL}	0.5
soil	MIXS:0000314	{PMID}|{DOI}|{URL}	0.5
agriculture	MIXS:0000316	{PMID|DOI|URL}	0.5
soil	MIXS:0000316	{PMID}|{DOI}|{URL}	0.5
agriculture	MIXS:0000318	{boolean};Rn/{timestamp}/{period}	0.3333333333333333
food-farm environment	MIXS:0000318	{boolean};{Rn/start_time/end_time/duration}	0.6666666666666666
soil	MIXS:0000318	{boolean};{Rn/start_time/end_time/duration}	0.6666666666666666
agriculture	MIXS:0000321	{PMID|DOI|URL}	0.5
soil	MIXS:0000321	{PMID}|{DOI}|{URL}	0.5
food-animal and animal feed	MIXS:0000325	{boolean},{integer}	0.6
food-food production facility	MIXS:0000325	{boolean},{integer}	0.6
food-human foods	MIXS:0000325	{boolean},{integer}	0.6
agriculture	MIXS:0000325	{boolean};{float} {unit}	0.2
soil	MIXS:0000325	{boolean};{integer}	0.2
agriculture	MIXS:0000328	{PMID|DOI|URL}	0.5
soil	MIXS:0000328	{PMID}|{DOI}|{URL}	0.5
agriculture	MIXS:0000329	{PMID|DOI|URL}	0.5
soil	MIXS:0000329	{PMID}|{DOI}|{URL}	0.5
agriculture	MIXS:0000331	{PMID|DOI|URL}	0.5
soil	MIXS:0000331	{PMID}|{DOI}|{URL}	0.5
food-farm environment	MIXS:0000332	{termLabel} [{termID}]	0.3333333333333333
soil	MIXS:0000332	"{termLabel} [{termID}]
"	0.3333333333333333
agriculture	MIXS:0000332	{text}	0.3333333333333333
agriculture	MIXS:0000334	{PMID|DOI|URL}	0.3333333333333333
food-farm environment	MIXS:0000334	{PMID}|{DOI}|{URL}	0.6666666666666666
soil	MIXS:0000334	{PMID}|{DOI}|{URL}	0.6666666666666666
agriculture	MIXS:0000337	{PMID|DOI|URL}	0.3333333333333333
food-farm environment	MIXS:0000337	{PMID}|{DOI}|{URL}	0.6666666666666666
soil	MIXS:0000337	{PMID}|{DOI}|{URL}	0.6666666666666666
agriculture	MIXS:0000338	{PMID|DOI|URL}	0.3333333333333333
food-farm environment	MIXS:0000338	{PMID}|{DOI}|{URL}	0.6666666666666666
soil	MIXS:0000338	{PMID}|{DOI}|{URL}	0.6666666666666666
agriculture	MIXS:0000339	{PMID|DOI|URL}	0.5
soil	MIXS:0000339	{PMID}|{DOI}|{URL}	0.5
agriculture	MIXS:0000343	{PMID|DOI|URL}	0.5
soil	MIXS:0000343	{PMID}|{DOI}|{URL}	0.5
agriculture	MIXS:0000533	{float} {unit}	0.8
microbial mat/biofilm	MIXS:0000533	{float} {unit}	0.8
sediment	MIXS:0000533	{float} {unit}	0.8
soil	MIXS:0000533	{float} {unit}	0.8
food-farm environment	MIXS:0000533	{percentage}	0.2
plant-associated	MIXS:0000557	{text};{float} {unit};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0000557	{text};{float} {unit};{period};{interval};{period}	0.5
plant-associated	MIXS:0000558	{text};{float} {unit};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0000558	{text};{float} {unit};{period};{interval};{period}	0.5
plant-associated	MIXS:0000561	{text};{float} {unit};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0000561	{text};{float} {unit};{period};{interval};{period}	0.5
plant-associated	MIXS:0000571	{text};{float} {unit};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0000571	{text};{float} {unit};{period};{interval};{period}	0.5
plant-associated	MIXS:0000573	{text};{float} {unit};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0000573	{text};{float} {unit};{period};{interval};{period}	0.5
plant-associated	MIXS:0000582	{text};{float} {unit};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0000582	{text};{float} {unit};{period};{interval};{period}	0.5
plant-associated	MIXS:0000590	{float} {unit};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0000590	{float} {unit};{period};{interval};{period}	0.5
plant-associated	MIXS:0000591	{float} {unit};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0000591	{float} {unit};{period};{interval};{period}	0.5
food-farm environment	MIXS:0000859	{PMID}|{DOI}|{URL}	0.5
food-food production facility	MIXS:0000859	{PMID}|{DOI}|{URL}	0.5
food-human foods	MIXS:0000859	{PMID}|{DOI}|{URL}	0.5
agriculture	MIXS:0000859	{PMID}|{DOI}|{URL}|{text}	0.5
host-associated	MIXS:0000859	{PMID}|{DOI}|{URL}|{text}	0.5
plant-associated	MIXS:0000859	{PMID}|{DOI}|{URL}|{text}	0.5
host-associated	MIXS:0000874	{termLabel} [{termID}]	0.6
human-associated	MIXS:0000874	{termLabel} [{termID}]	0.6
human-gut	MIXS:0000874	{termLabel} [{termID}]	0.6
human-oral	MIXS:0000874	{termLabel} [{termID}]	0.6
human-skin	MIXS:0000874	{termLabel} [{termID}]	0.6
human-vaginal	MIXS:0000874	{termLabel} [{termID}]	0.6
agriculture	MIXS:0000874	{term}	0.2
symbiont-associated	MIXS:0000874	{term}	0.2
food-farm environment	MIXS:0000874	{text};{termLabel} [{termID}]	0.2
plant-associated	MIXS:0000874	{text};{termLabel} [{termID}]	0.2
plant-associated	MIXS:0001040	{text};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0001040	{text};{period};{interval};{period}	0.5
plant-associated	MIXS:0001056	{float};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0001056	{float};{period};{interval};{period}	0.5
plant-associated	MIXS:0001068	{text};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0001068	{text};{period};{interval};{period}	0.5
plant-associated	MIXS:0001069	{text};{Rn/start_time/end_time/duration}	0.5
agriculture	MIXS:0001069	{text};{period};{interval};{period}	0.5
