class	Structured comment name	Item	Frequency
agriculture	tot_nitro_content	total nitrogen	0.2
food-farm environment	tot_nitro_content	total nitrogen content	0.8
microbial mat/biofilm	tot_nitro_content	total nitrogen content	0.8
sediment	tot_nitro_content	total nitrogen content	0.8
soil	tot_nitro_content	total nitrogen content	0.8
agriculture	tot_phosp	total phosphorous	0.25
hydrocarbon resources-cores	tot_phosp	total phosphorus	0.75
hydrocarbon resources-fluids/swabs	tot_phosp	total phosphorus	0.75
water	tot_phosp	total phosphorus	0.75
