source	schema name	rule name	level	message
/home/mark/gitrepos/mixs-envo-struct-knowl-extraction/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Class 'Agriculture' does not have recommended slot 'description'
/home/mark/gitrepos/mixs-envo-struct-knowl-extraction/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Class 'Air' does not have recommended slot 'description'
/home/mark/gitrepos/mixs-envo-struct-knowl-extraction/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Class 'BuiltEnvironment' does not have recommended slot 'description'
/home/mark/gitrepos/mixs-envo-struct-knowl-extraction/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Class 'FoodAnimalAndAnimalFeed' does not have recommended slot 'description'
/home/mark/gitrepos/mixs-envo-struct-knowl-extraction/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Class 'FoodFarmEnvironment' does not have recommended slot 'description'
/home/mark/gitrepos/mixs-envo-struct-knowl-extraction/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Class 'FoodFoodProductionFacility' does not have recommended slot 'description'
/home/mark/gitrepos/mixs-envo-struct-knowl-extraction/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Class 'FoodHumanFoods' does not have recommended slot 'description'
/home/mark/gitrepos/mixs-envo-struct-knowl-extraction/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Class 'HostAssociated' does not have recommended slot 'description'
/home/mark/gitrepos/mixs-envo-struct-knowl-extraction/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Class 'HumanAssociated' does not have recommended slot 'description'
/home/mark/gitrepos/mixs-envo-struct-knowl-extraction/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Class 'HumanGut' does not have recommended slot 'description'
